source,target
house,disco
house,dub
stupidhouse,nrg
deephouse,funkyhouse
discohouse,frenchhouse
funkyhouse,frenchhouse
funkyhouse,discohouse
latinhouse,funkyhouse
anthemhouse,epichouse
epichouse,epictrance
eurodance,nuitalodisco
eurodance,happyhouse
eurodance,eurobeat
eurodance,jpop
jpop,eurobeat
vocalhouse,eurodance
technodance,progressivehouse
technodance,eurodance
technodance,vocalhouse
technodance,anthemhouse
technodance,freestyle
italodisco,synthpop
italodisco,hinrg
italodisco,classichouse
newwave,synthpop
synthpop,synthtron
disco,newwave
disco,italodisco
disco,classichouse
classichouse,hiphouse
classichouse,technodance
classichouse,tribalhouse
classichouse,acidhouse
classichouse,garage
classichouse,deephouse
garage,speedgarage
hiphouse,technodance
bootyhouse,dirtysouthrap
bootyhouse,ghettotech
hardhouse,bootyhouse
microhouse,minimaltechno
progressivehouse,ukhouse
speedgarage,2stepgarage
techhouse,detroithouse
techhouse,microhouse
techhouse,hardhouse
dubhouse,classichouse
dubhouse,garage
ukhouse,darkhouse
trance,italodisco
goatrance,darktrance
psychedelictrance,buttrockgoa
psychedelictrance,psytekk
psychedelictrance,deathtrance
psychedelictrance,goatrance
ebm,electroindustrial
ebm,futurepop
ebm,psychedelictrance
coldwave,industrialrock
darksynth,ebm
darksynth,synthpop
darkwave,coldwave
darkwave,ethereal
industrialrock,ebm
goth,darkwave
goth,ethereal
industrial,industrialexperimental
industrial,industrialrock
hardtrance,hardstyle
hardacidtrance,nrg
hardacidtrance,hardtrance
nrg,stupidhouse
hardstyle,nustylegabber
anthemtrance,epictrance
anthemtrance,deeptrance
anthemtrance,techtrance
anthemtrance,breaktrance
dreamtrance,epictrance
epictrance,nottrance
ibizatrance,dreamtrance
ibizatrance,epictrance
progressivetrance,anthemtrance
symphonictrance,progressivetrance
bootytrance,stupidhouse
deeptrance,ukhouse
tribaltrance,ibizatrance
acidtrance,hardacidtrance
acidtrance,goatrance
acidtrance,acidhouse
classictrance,acidtrance
classictrance,germantrance
classictrance,ibizatrance
classictrance,progressivetrance
classictrance,symphonictrance
germantrance,acidtrance
germantrance,hardacidtrance
hinrg,classictrance
techno,classictechno
bangintechno,industrialtechno
bangintechno,tribaltechno
minimaltechno,deeptechno
minimaltechno,microhouse
minimaltechno,experimentaltechno
minimaltechno,dubtechno
minimaltechno,gloomcore
classictechno,electro
classictechno,detroittechno
classictechno,detroithouse
detroittechno,acidtechno
detroittechno,minimaltechno
detroittechno,bangintechno
detroittechno,eurotechno
detroithouse,techhouse
detroithouse,technodance
acidtechno,hardacidtechno
acidtechno,acidhouse
germantechno,jtek
germantechno,swedishtechno
jtek,swedishtechno
latintechno,italiantechno
swedishtechno,latintechno
swedishtechno,italiantechno
eurotechno,germantechno
eurotechno,hardtechno
eurotechno,rave
rave,hardtechno
vgm,casiocore
breakbeat,hiphop
2stepgarage,speedgarage
nusoul,2stepgarage
newjackswing,nusoul
gfunk,gangstarap
gangstarap,nusoul
eastcoastrap,gangstarap
hiphop,electro
hiphop,turntablism
hiphop,eastcoastrap
hiphop,westcoastrap
hiphop,funkybreaks
hiphop,dirtysouthrap
hiphop,miamibass
progressivehop,abstracthiphop
turntablism,progressivehop
turntablism,abstracthiphop
westcoastrap,gfunk
electro,electrofunk
electro,freestyle
electro,nuelectro
dirtysouthrap,crunk
dirtysouthrap,bootyhouse
bootyhouse,ghettotech
dirtysouthrap,miamibass
miamibass,dirtysouthrap
miamibass,riofunk
miamibass,floridabreaks
acidbreaks,chemicalbreaks
bigbeat,anthembreaks
chemicalbreaks,bigbeat
floridabreaks,nuskoolbreaks
funkybreaks,tribalbreaks
funkybreaks,bigbeat
funkybreaks,acidbreaks
nuskoolbreaks,progressivebreaks
nuskoolbreaks,darkbreaks
freestyle,technodance
jungle,raggajungle
idm,glitch
idm,experimentaljungle
industrialdnb,experimentaljungle
atmosphericjungle,
darkcore,hardstep
darkcore,darkstep
drumnbass,jumpup
drumnbass,neurofunk
hardstep,techstep
jazzstep,liquidfunk
jazzstep,atmosphericjungle
neurofunk,trancestep
oldskoolravehardcore,rave
oldskoolravehardcore,happyhardcore
oldskoolravehardcore,darkcore
techstep,darkstep
techstep,industrialdnb
industrial,industrialdnb
soundcollage,glitch
ambienttechno,idm
subjungle,oldskoolravehardcore
subjungle,jazzstep
subjungle,drumnbass
raggajungle,subjungle
raggajungle,oldskoolravehardcore
hardcore,newbeat
happyhardcore,freeform
happyhardcore,trancecore
happyhardcore,oldskoolravehardcore
happygabber,happyhardcore
nustylegabber,hardstyle
trancecore,freeform
digitalhardcore,metalcore
gabber,noizecore
gabber,terrorcore
noizecore,terrorcore
noizecore,digitalhardcore
powerelectronics,noizecore
rave,gabber
rave,rotterdam
rave,hardtechno
rave,oldskoolravehardcore
rotterdam,gabberhouse
rotterdam,nustylegabber
rotterdam,happygabber
terrorcore,metalcore
terrorcore,speedcore
newbeat,rave
newbeat,acidhouse
newbeat,ebm
ebm,powerelectronics
speedbass,
downtempo,musiqueconcrete
ambient,newage
ambient,ambienthouse
ambient,electronicpsychedelia
ambient,minimalism
electronicclassical,newwave
electronicclassical,earlysynth
frenchpop,synthpop
minimalism,electronicclassical
electronicpsychedelia,electronicclassical
earlysynth,frenchpop
earlysynth,newwave
musiqueconcrete,minimalism
musiqueconcrete,soundcollage
musiqueconcrete,industrial
acidjazz,downbeat
acidjazz,nujazz
ambientbreaks,illbient
ambientbreaks,acidjazz
ambientbreaks,triphop
downbeat,triphop
illbient,abstracthiphop
illbient,acidjazz
illbient,nujazz
triphop,
nujazz,
ambienttechno,minimaltechno
ambienttrance,ambientpsy
darkambient,
soundcollage,glitch
worldbeat,
ambienthouse,ambienttechno
ambienthouse,ambientbreaks
ambienthouse,ambienttrance
ethereal,darkambient
newage,ethereal
newage,worldbeat
electronica,
