slug,scene,genre,year,artist,title
2-stepgarage,UK Garage,2-Step Garage,1998,Groove Chronicles,Stone Cold
2-stepgarage,UK Garage,2-Step Garage,1998,M-Dubs,Over Here (Sugar Shack Breakbeat Funk)
2-stepgarage,UK Garage,2-Step Garage,1998,Antonio,Hyperfunk
2-stepgarage,UK Garage,2-Step Garage,1998,Box Clever,Talk To Me
2-stepgarage,UK Garage,2-Step Garage,1999,B-15 Project feat Crissy D And Lady G,Girls Like Us
2-stepgarage,UK Garage,2-Step Garage,1999,Kartik,The Way We Freak (Mellow mix)
2-stepgarage,UK Garage,2-Step Garage,1999,Tin Tin Out feat Emma Bunton,What I Am (K Warren mix)
2-stepgarage,UK Garage,2-Step Garage,1999,DJ Luck & MC Neat,A Little Bit Of Luck
2-stepgarage,UK Garage,2-Step Garage,1999,Pink,There You Go
2-stepgarage,UK Garage,2-Step Garage,1999,Y Tribe,Enough Is Enough (Dubaholics Vox mix)
2-stepgarage,UK Garage,2-Step Garage,1999,Sunship feat Anita Kelsey,Try Me Out
2-stepgarage,UK Garage,2-Step Garage,1999,Monster Boy,Sorry!
2-stepgarage,UK Garage,2-Step Garage,1999,Artful Dodger & Romina Johnson,Movin Too Fast
2-stepgarage,UK Garage,2-Step Garage,1999,Zed Bias,Neighborhood
2-stepgarage,UK Garage,2-Step Garage,2000,Dinamyte,Dynamite (Dancehall Queen) (Troublemakers And About 2 mix)
2-stepgarage,UK Garage,2-Step Garage,2000,Wideboys,Westside (2 Da Floor mix)
2-stepgarage,UK Garage,2-Step Garage,2000,DJ Zinc,138 Trek
2-stepgarage,UK Garage,2-Step Garage,2000,Zack Toms,Bring Me Down (Stanton Warriors mix)
2-stepgarage,UK Garage,2-Step Garage,2000,Richie Can,Call It Fate (Underground mix)
2-stepgarage,UK Garage,2-Step Garage,2000,Wookie,Down On Me
2-stepgarage,UK Garage,2-Step Garage,2000,Comme Ci Comme Ca,Summer Of Love
2-stepgarage,UK Garage,2-Step Garage,2000,Godsgift,Mic Tribute
2-stepgarage,UK Garage,2-Step Garage,2000,Horsepower Productions,Let's Dance
2-stepgarage,UK Garage,2-Step Garage,2000,Oxide & Neutrino,Bound 4 Da Reload (Casualty)
2-stepgarage,UK Garage,2-Step Garage,2000,Lenny Fontana,Spirit Of The Sun (Bump & Flex Hard Step Dub)
2-stepgarage,UK Garage,2-Step Garage,2000,MJ Cole,Crazy Love (Todd Edwards Underground mix)
2-stepgarage,UK Garage,2-Step Garage,2001,M-Dubs,Bump'n'grind (Sunship mix)
2-stepgarage,UK Garage,2-Step Garage,2001,Horsepower Productions,Givin' Up On Love
2-stepgarage,UK Garage,2-Step Garage,2001,Stanton Warriors feat The Empress,Right Here
2-stepgarage,UK Garage,2-Step Garage,2001,K Warren & Richie Dan,Temptation (12 Inch Vocal mix)
2-stepgarage,UK Garage,2-Step Garage,2002,Daniel Bedingfield,Gotta Get Thru This
